Gaps_in_education,Gaps_in_experience,Percentage_of_marks,Experience,Age,Age_of_kids,Salary,Salary_as_compared_to_experience,Salary_as_compared_with_the_industry_standards,Classification_of_companies,Since_howlong_is_he.inthe_current_company,Since_howlong_is_he.inthe_current_location,is_home_town_as_work_location,Canditate_is_finikey_about_contract_job,Would_join_as_a_contractor_or_not.Target.,ED_code,year_code,Mas_code,exp_code,org_code
0,0,81,3,33,3,7.35,1,0,2,3.4,3.4,0,1,1,10,17,0,1,2
0,0,75,5.8,27,3,10,1,1,1,1.6,1.6,0,0,0,10,20,1,1,2
0,0,72,4.3,26,3,8,1,1,1,0.1,0.1,0,0,0,1,17,1,1,2
0,0,68,2.6,25,3,5,1,1,1,1.8,1.8,0,0,0,1,21,1,1,0
0,1,68,11.4,33,3,22,1,1,2,5.9,5.9,1,0,0,1,10,0,1,0
0,1,85,9.9,33,3,20,1,1,2,2.5,2.5,1,0,0,1,15,0,1,0
0,0,68,5,29,3,11,1,1,2,0.5,0.5,1,1,1,7,20,1,1,2
0,1,68,4.4,31,1,11.5,1,1,3,4.4,4.4,0,1,1,7,16,0,1,2
0,0,68,3.6,27,1,7.85,1,0,2,1.1,1.1,0,1,1,1,17,1,1,2
0,0,82,10,34,4,18,1,0,2,0.6,0.6,0,1,1,0,10,0,1,2
0,1,82,2.2,25,4,4.5,1,1,2,2.2,2.2,0,1,1,4,20,1,1,2
0,0,78,3.6,27,4,6.5,1,1,2,1.6,1.6,0,0,0,10,20,1,0,2
0,0,69,3.4,27,4,6,1,1,3,2,2,0,0,0,1,21,1,1,2
0,1,78,3,27,4,6,1,1,3,0.1,0.1,0,0,0,1,11,1,1,2
0,0,78,3.1,27,4,5.25,1,1,2,3.1,3.1,0,0,0,4,11,1,1,2
0,0,78,2.4,27,4,4.75,1,1,2,2.4,2.4,1,0,0,12,11,1,1,2
1,1,78,7,36,9,13.64,1,1,3,3.9,7,1,1,1,1,11,0,1,2
1,0,78,10.8,33,5,24,1,1,1,6.1,10.8,1,1,1,4,11,0,1,2
1,0,78,3.9,33,7,6,1,0,2,3.9,3.9,1,1,1,5,17,0,1,2
0,0,78,5,28,0,10,1,1,4,1.9,1.9,1,1,1,1,17,1,0,2
0,0,78,11.5,38,2,20,1,0,2,1.1,1.1,1,1,1,5,20,0,0,2
0,0,78,3.5,26,2,7.5,1,0,1,3.5,3.5,0,0,0,5,20,1,1,0
0,0,78,2.11,25,2,4.5,1,1,3,0.5,0.5,0,0,0,5,21,1,1,2
1,0,78,2.4,26,2,4.5,1,0,1,1.8,1.8,0,0,0,1,21,0,1,2
0,1,70.6,4.7,27,2,8,1,0,1,2.1,2.1,1,0,0,4,18,1,1,2
0,0,70.6,4,26,2,8,1,1,3,4,4,1,0,0,4,18,0,1,2
0,0,75,7,30,2,14,1,0,2,2.2,2.2,1,1,1,10,14,0,0,2
0,1,75,2,27,2,6,1,0,3,2,2,1,1,1,1,22,0,1,2
1,0,80,12.1,40,2,25,1,1,1,8,8,1,1,1,12,10,0,0,2
1,0,67.22,7,29,2,14,1,0,2,3.9,3.9,1,1,1,3,22,1,0,2
0,0,67.22,6.8,32,2,13,1,1,2,1.8,1.8,0,0,0,10,15,0,1,0
0,1,67.22,6.4,32,2,12,1,1,2,3.7,3.7,0,0,0,10,12,0,1,3
0,0,67.22,11,35,2,23,1,1,1,5.1,5.1,1,0,0,10,12,0,1,2
0,0,67.22,10,34,2,22,1,1,1,3.4,3.4,0,0,0,3,12,0,1,2
0,1,67.22,8,31,2,16,1,1,1,3.6,3.6,1,0,0,1,13,1,1,2
0,1,83,5.9,31,2,11.5,1,1,2,1.7,1.7,1,1,1,3,15,0,0,2
0,1,83,5.2,30,2,10,1,0,1,0.8,0.8,1,1,1,10,15,0,0,2
0,0,83,3.2,27,2,6.5,1,1,3,0.2,0.2,0,0,0,1,20,1,1,2
0,0,72,3.7,27,2,7,1,0,2,1.7,1.7,0,0,0,10,21,1,1,2
0,0,74,3.6,24,2,7.25,1,1,2,0.8,0.8,0,0,0,1,21,1,1,2
0,0,70,2.8,26,2,4.25,1,1,1,0.11,0.11,1,0,0,1,22,1,1,2
0,0,66,1.1,26,2,3,1,1,2,1.1,1.1,0,0,0,4,22,1,1,2
0,1,75,8.2,31,2,14,1,1,2,6,6,0,0,0,1,14,0,1,2
0,1,72,3.8,28,2,6,1,1,1,0.6,0.6,1,0,0,4,18,0,1,0
0,1,64,5.7,30,2,10.5,1,1,2,0.6,0.6,1,0,0,4,15,0,1,2
0,0,64,13,37,2,26,1,0,1,3.2,3.2,1,0,0,4,8,0,1,2
0,0,64,2.5,25,2,4,1,1,1,0.5,0.5,1,0,0,4,15,1,1,1
0,1,64,4.6,31,2,9,1,1,1,2.9,3,0,0,0,4,15,1,1,1
0,1,64,5,31,2,9.5,1,1,1,1.2,1.2,1,0,0,4,18,1,1,1
0,0,64,4.8,27,2,8,1,1,2,0.8,0.8,0,0,0,1,18,0,1,0
0,1,64,5.8,28,2,11,1,1,2,5.8,5.8,1,0,0,1,20,0,1,1
1,0,64,2,30,2,5,1,1,1,2,2,0,0,0,7,20,0,1,3
0,0,64,8.3,30,2,16,1,1,2,1.6,1.6,0,0,0,1,14,0,1,0
1,1,64,24,46,2,35,0,1,1,2.1,2.1,0,0,0,9,13,0,1,2
0,1,64,4.11,26,2,8,1,1,3,3.1,3.1,0,0,0,1,20,1,0,2
