Educational_course,year,Gaps_in_education,Gaps_in_experience,Percentage_of_marks,Experience,Age,Marital_status,Age_of_kids,Salary,Salary_as_compared_to_experience,Salary_as_compared_with_the_industry_standards,Classification_of_companies,Type_of_experience,Resume_organization,Since_howlong_is_he.inthe_current_company,Since_howlong_is_he.inthe_current_location,is_home_town_as_work_location,Canditate_is_finikey_about_contract_job,Would_join_as_a_contractor_or_not.Target.
MCA,2014,NaN,no,NaN,3,29,S,NaN,8,yes,yes,2,Service based,good,2,2,no,yes,yes
B.Com,1997,NaN,yes,NaN,10,43,M,18,20,yes,no,2,Service based,good,1.4,1.4,no,yes,yes
B.Tech,2014,no,no,NaN,4.8,27,S,NaN,9,yes,yes,1,Service based,good,2.1,2.1,yes,no,no
B.Tech,2015,no,no,NaN,3.9,26,S,NaN,7,yes,yes,2,Service based,average,1,1,yes,no,no
B.Tech,2015,no,no,80.16,3.5,25,S,NaN,7,yes,yes,1,Service based,good,3.5,3.5,yes,no,no
B.Tech,2015,no,no,66.3,3.11,26,S,NaN,7,yes,yes,3,Service based,good,0.11,0.11,no,no,no
B.Tech,2010,no,no,NaN,5.3,31,M,NaN,10,yes,yes,1,Service based,okay,2,2,no,no,no
B.Com,2012,no,no,64,7,29,M,4,16,yes,yes,2,Service based,good,2,2,no,yes,yes
B.Tech,2014,NaN,no,60,2,30,M,2,5,yes,no,1,Service based,good,2,2,no,yes,yes
B.Com,2008,no,no,50,11,33,M,7,21,yes,no,2,Service based,good,6,11,yes,yes,yes
CA,1985,no,no,NaN,20,59,M,25,60,yes,yes,1,Service based,good,16,16,yes,yes,yes
NaN,NaN,NaN,NaN,NaN,7,35,M,7,13,yes,no,2,Service based,good,3,5,no,yes,yes
B.Tech,2013,no,no,78,2.7,27,S,NaN,4.25,yes,yes,2,Product based,good,2.7,2.7,no,no,no
BE,2015,no,no,NaN,2.1,26,S,NaN,3.25,yes,yes,3,Service based,good,1.11,1.11,no,no,no
M.Tech,2015,no,no,78,4,29,S,NaN,8.5,yes,yes,1,Service based,good,1.2,1.2,yes,no,no
MCA,2015,no,no,65,2.9,33,M,2,6.75,yes,yes,2,Service based,good,2.11,2.11,no,no,no
B.Tech,2016,no,no,80,2,26,S,NaN,4.25,yes,no,1,Service based,good,2,2,no,no,no
MCA,NaN,NaN,no,NaN,2,26,S,NaN,4,yes,yes,2,Service based,good,2,3,yes,yes,yes
BE,NaN,NaN,no,NaN,4.3,30,M,2,8,yes,no,2,Service based,good,1.1,1.1,no,yes,yes
B.Tech,2014,NaN,no,NaN,4.4,28,M,4,9.7,yes,yes,2,Service based,good,2.6,2.6,yes,yes,yes
B.Tech,NaN,NaN,yes,NaN,2,26,S,NaN,3,yes,no,2,Service based,good,2,2,yes,yes,yes
B.Tech,2013,no,no,65,3.5,28,S,NaN,7,yes,yes,2,Service based,good,0.1,0.1,yes,yes,yes
MCA,2009,no,yes,NaN,4.6,32,M,NaN,9.5,yes,yes,3,Service based,average,3.1,3.1,yes,no,no
BE,2008,no,yes,NaN,4,33,M,NaN,8,yes,yes,4,Service based,bad,0.11,0.11,yes,no,no
MCA,2004,no,yes,NaN,12,39,M,NaN,10,yes,yes,2,Service based,good,0.4,0.4,yes,no,no
B.Tech,2015,no,no,NaN,3.3,26,S,NaN,7,yes,no,1,Service based,good,3.3,3.3,yes,no,no
BE,2014,no,no,NaN,3.5,30,M,NaN,8,yes,yes,2,Service based,good,3.5,3.5,yes,no,no
Msc,2000,yes,no,NaN,18,42,M,9,39,yes,yes,2,Service based,good,0.8,14,no,yes,yes
CA,1989,no,no,NaN,24,54,M,26,55,yes,yes,2,Service based,good,8,8,no,yes,yes
B.Tech,2007,no,no,NaN,10,34,M,4,23,yes,yes,2,Service based,good,2.6,2.6,no,yes,yes
Msc,2000,no,no,NaN,15,41,M,16,30,yes,yes,2,Service based,good,2,2,no,yes,yes
MBA,2007,no,no,NaN,10,34,M,6,21,yes,yes,2,Service based,good,2,2,no,yes,yes
B.Tech,2014,no,no,NaN,3.11,26,S,NaN,8,yes,yes,1,Service based,good,3.11,3.11,no,no,no
B.Tech,2013,no,NaN,78,4.11,27,S,NaN,8,no,no,1,Service based,good,0.8,0.8,no,no,no
B.Tech,2014,no,yes,74,4.3,28,S,NaN,8,yes,yes,2,Service based,average,1.6,1.6,no,no,no
B.Tech,2015,no,no,NaN,4,26,S,NaN,8,yes,yes,3,Service based,good,2.2,2.2,no,no,no
B.Tech,2014,no,no,NaN,4.8,27,S,NaN,9,yes,yes,1,Service based,good,4.2,4.2,no,no,no
B.Com,2007,no,no,NaN,6.5,33,M,3,14,yes,yes,2,Service based,good,8,8,yes,yes,yes
M.Tech,2016,no,yes,NaN,10,34,M,5,22,yes,yes,2,Service based,good,2.6,2.6,no,yes,yes
B.Tech,2014,no,no,60,3,26,S,NaN,7,yes,no,2,Service based,good,3.2,3.2,no,yes,yes
BE,2012,no,no,NaN,4,29,S,NaN,10,yes,yes,2,Service based,good,1,1,yes,yes,yes
B.Tech,NaN,yes,no,NaN,7,34,M,6,20,yes,yes,2,Service based,good,2.1,2.1,no,yes,yes
B.Tech,2015,no,no,NaN,3.2,26,S,NaN,6.5,yes,yes,3,Service based,average,1.2,1.2,yes,no,no
B.Tech,2016,no,yes,NaN,2.1,26,S,NaN,5,yes,yes,1,Service based,good,2.5,2.5,no,no,no
M.Tech,2016,no,no,NaN,3.4,27,S,NaN,6.75,yes,yes,3,Service based,good,3.4,3.4,no,no,no
B.Tech,2015,no,no,76,3.6,26,S,NaN,7,yes,yes,2,Service based,good,0.6,0.6,no,no,no
B.Tech,2016,no,no,NaN,2.7,24,S,NaN,5,yes,yes,2,Service based,good,2.7,2.7,no,no,no
BE,2015,no,no,NaN,2,24,S,NaN,4,yes,yes,2,Service based,good,0.5,0.5,no,yes,yes
B.Tech,2006,yes,no,NaN,10,36,M,8,24,yes,yes,2,Service based,good,2,10.8,yes,yes,yes
Msc,2010,no,no,NaN,6.7,32,M,3,14,yes,no,3,Service based,good,2.6,2.6,yes,yes,yes
MCA,2004,no,no,78,13,39,M,11,27,yes,yes,2,Service based,good,1.4,1.4,no,yes,yes
B.Tech,2011,no,no,76,7,33,M,5,17,yes,yes,2,Service based,good,0.8,0.8,no,yes,yes
BE,2015,no,no,70.08,3.4,26,M,NaN,7.5,yes,yes,3,Service based,average,1.5,1.5,yes,no,no
BCA,2015,no,no,70,3.6,26,M,NaN,7,yes,yes,3,Service based,good,3.6,3.6,yes,no,no
NaN,NaN,NaN,no,NaN,4.6,NaN,NaN,NaN,9,yes,yes,3,Service based,average,2.2,2.2,yes,no,no
BE,2015,no,no,NaN,2.11,26,S,NaN,4.5,yes,yes,3,Service based,good,2.11,2.11,yes,no,no
Msc,2015,no,no,NaN,3.3,29,S,NaN,7,yes,no,1,Service based,good,2.1,2.1,yes,no,no
NaN,NaN,NaN,no,NaN,8,31,M,2,17,yes,yes,2,Service based,good,4,4,yes,yes,yes
